category,filename,jitter,shimmer,HNR,nVB,perVB,med,mean,std,min,max,total_duration,speaking_rate,articulation_rate,PCT,PCC,PCV,vowel_space,VAI,FCR,F2,0,1,2,3,4,5,6,7,8,9,10,11,12
2,M0001_CS_0001,1.88,7.53,17.19,10,22.65,206.09,203.77,61.1,87.17,459.51,13.89,1.37,3.59,26.19,26.92,25,19727.17,0.61,1.65,1.24,-759.550903,75.914314,-0.335523,29.283253,0.793017,5.887774,1.541215,-0.261987,1.051983,-3.006911,-1.682494,-3.910572,-1.297396
2,M0001_CS_0002,1.65,7.14,17.73,10,21.02,216.55,207.77,61.04,79.73,485.7,8.62,3.02,5.3,34.15,33.33,35.29,30321.39,0.63,1.59,1.3,-771.524109,82.965172,6.380636,20.76321,-0.166919,1.252722,-2.895018,-3.203144,1.841805,-1.858849,-4.052107,-4.803198,1.021848
2,M0001_CS_0003,2.24,6.23,15.07,16,32.07,196.66,195.68,65.02,59.13,572.03,9.22,2.38,4.68,17.95,13.64,23.53,29286,0.63,1.59,1.15,-703.304321,84.511055,-15.213806,34.783749,-5.17196,10.235545,-5.667877,1.91163,1.848705,-3.523732,0.601139,-6.841975,0.365209
2,M0001_CS_0004,1.83,8.25,16.2,6,14.15,204.75,207.85,66.76,86.32,624.75,7.4,2.16,3.71,20,23.81,14.29,76399.67,0.66,1.51,1.13,-717.548279,91.35939,-7.955005,29.358757,-3.260413,8.330824,-3.733223,-2.049478,1.69748,-1.786757,0.721585,-2.505071,0.706195
2,M0001_CS_1001,2.46,8.2,14.76,13,39.9,179.2,194.35,87.79,52.71,608.03,11.36,2.11,5.52,26.19,26.92,25,73543.5,0.76,1.32,1.63,-691.857178,100.087425,-9.904368,36.055122,-1.245488,12.768849,-1.639493,1.09006,2.707649,-1.116659,1.058633,-2.286414,1.917368
2,M0001_CS_1002,1.97,9.28,14.68,13,26.37,182.35,197.29,113.34,54.62,633.77,8.19,2.81,5.16,34.15,33.33,35.29,43211.75,0.61,1.64,1.23,-746.140076,95.684608,7.526731,29.207878,6.391913,9.343499,1.402379,-1.097261,2.02483,0.0145,-1.475222,-2.57305,3.86573
2,M0001_CS_1003,2.48,8.85,13.99,12,38.73,202.63,198.69,72.27,74.26,619.1,9,2.33,5.19,12.82,13.64,11.76,58914.75,0.58,1.73,1.19,-704.743774,86.680832,-8.145629,37.15823,-3.852245,13.757371,-3.541218,2.398132,0.95067,-1.526992,1.516097,-7.902194,1.512597
2,M0001_CS_1004,1.68,6.98,16.27,9,15.42,192.59,195.12,40.23,61.11,328.59,6.85,2.19,3.77,34.29,33.33,35.71,4996.79,0.57,1.76,0.94,-706.168945,99.303917,-5.60388,28.621674,-5.075989,9.252286,-4.605322,1.452251,4.82212,-3.710966,0.051007,-1.429802,0.678732
1,M0003_CS_0001,1.26,5.6,18.84,13,41.31,227.31,217.53,48.32,71.51,479.75,15.52,2,4.14,92.86,92.31,93.75,7580.44,0.43,2.3,0.81,-738.58252,70.156578,-17.337896,32.8396,5.753555,6.861405,-5.580993,1.381658,1.410515,-6.797245,-3.103959,-4.226878,-2.599459
1,M0003_CS_0002,1.27,6.3,16.97,16,41.96,177.94,182.62,45.09,82.03,502.08,9.99,2,3.87,97.56,100,94.12,145196.6,0.73,1.38,1.7,-751.48114,78.04171,-8.649705,28.576702,9.34193,2.656601,-3.313168,7.585338,1.359245,-6.410752,-2.846853,-6.703595,-2.896127
1,M0003_CS_0003,1.18,4.84,17.24,19,53.94,190.94,201.98,58.32,65.81,610.89,14.13,1.7,4.36,51.28,54.55,47.06,10558.38,0.69,1.44,1.55,-759.037964,61.782791,-10.499539,31.626436,3.638537,11.142656,0.339688,2.214714,4.646976,-2.242198,-0.275676,-2.22467,-3.835403
1,M0003_CS_0004,1.04,5.37,17.5,19,47.75,209.26,222.37,67.52,88.19,597.68,14.48,1.8,4.53,94.29,95.24,92.86,22399.96,0.7,1.43,1.66,-777.327576,61.822098,-7.680694,19.824144,-1.922739,4.499338,-2.371951,1.54098,3.941401,-5.356366,-1.774492,-1.297456,-1.21086
1,M0003_CS_1001,1.3,5.38,17.5,8,18.58,215.73,202.34,48.48,51.88,378.71,9.51,3.05,4.48,83.33,80.77,87.5,22466.52,0.73,1.38,1.4,-710.488342,79.136948,-27.388258,33.754799,5.811366,1.464736,-11.403445,4.331014,-1.911386,-8.181249,-0.730229,-9.508391,-2.46105
1,M0003_CS_1002,1.07,5.37,18.94,13,27.9,161.04,158.49,36.2,52.83,499.82,11.6,2.24,3.39,100,100,100,167712.15,0.89,1.12,2.22,-726.459045,92.622513,-14.402722,30.174084,12.210891,1.488315,-5.739564,7.795547,3.818642,-8.407448,-3.719536,-10.950462,-3.685968
