fileName	nInterval	Label interval	Label tier2	Label tier3	F0 [Hz]	F1 [Hz]	F2 [Hz]	F3 [Hz]	F4 [Hz]	Duration[ms]	Intensity [ms]	
test1_210930_3_para1	2	ii	no	no	179	362	700	2259	2949	140.0	62
test1_210930_3_para1	5	aa	no	no	203	721	1198	1594	2687	130.0	73
test1_210930_3_para1	7	ii	no	no	207	292	981	2640	3129	100.0	74
test1_210930_3_para1	9	uu	no	no	149	377	1031	2053	2849	100.0	65
test1_210930_3_para1	17	uu	no	no	158	407	880	2156	3026	70.0	67
test1_210930_3_para1	19	uu	no	no	146	373	1015	2262	3000	110.0	63
test1_210930_3_para1	26	aa	no	no	180	448	1030	1862	2905	100.0	66
test1_210930_3_para1	30	ee	no	no	149	591	1207	1987	2829	100.0	64
test1_210930_3_para1	36	ee	no	no	183	539	1490	2027	2676	120.0	70
test1_210930_3_para1	39	aa	no	no	180	738	1333	1962	2829	60.0	71
test1_210930_3_para1	45	ii	no	no	204	357	1651	2487	2995	160.0	66
test1_210930_3_para1	48	oo	no	no	257	488	986	2208	2933	100.0	70
test1_210930_3_para1	49	ii	no	no	190	329	1979	2435	2873	70.0	68
test1_210930_3_para1	54	aa	no	no	--undefined--	395	1368	2137	2803	180.0	55
